185, 166, 25, 23
261, 173, 21, 19
329, 183, 21, 21
355, 180, 17, 24
390, 175, 22, 23
461, 185, 20, 22
499, 179, 17, 20
542, 184, 19, 20
581, 171, 26, 26
640, 173, 20, 16
693, 179, 20, 21
757, 177, 23, 25
816, 180, 17, 15
890, 179, 16, 22
172, 198, 26, 26
242, 203, 20, 29
316, 207, 20, 23
341, 225, 14, 18
381, 219, 25, 24
445, 227, 22, 21
501, 222, 22, 21
544, 227, 14, 19
588, 216, 21, 28
650, 213, 24, 21
137, 243, 32, 51
205, 260, 22, 26
279, 262, 33, 32
328, 284, 16, 22
371, 291, 25, 30
442, 286, 26, 24
495, 284, 35, 30
549, 295, 28, 23
593, 276, 20, 28
659, 266, 30, 31
720, 251, 23, 25
782, 249, 14, 19
828, 240, 34, 35
912, 235, 28, 31
95, 311, 30, 38
168, 323, 31, 31
253, 334, 25, 29
305, 352, 16, 20
354, 358, 23, 29
430, 343, 29, 30
486, 341, 32, 31
542, 344, 32, 34
598, 337, 30, 39
663, 328, 29, 27
743, 316, 28, 32
800, 313, 21, 24
852, 310, 43, 37
939, 306, 33, 30
60, 387, 26, 28
131, 394, 29, 29
221, 406, 22, 23
285, 409, 14, 19
339, 421, 28, 40
414, 407, 45, 43
496, 409, 36, 34
550, 415, 36, 26
597, 409, 36, 35
681, 409, 23, 22
754, 398, 36, 40
853, 391, 76, 55
966, 394, 35, 35
17, 467, 55, 53
83, 480, 57, 47
172, 481, 57, 45
302, 502, 50, 44
407, 485, 44, 43
494, 489, 38, 34
560, 488, 32, 33
606, 487, 45, 43
696, 478, 24, 37
766, 479, 36, 43
887, 470, 51, 51
980, 481, 35, 32
28, 586, 53, 51
139, 582, 65, 54
294, 600, 47, 38
413, 565, 42, 45
489, 565, 53, 43
556, 577, 40, 30
608, 578, 49, 42
706, 573, 23, 37
780, 568, 43, 46
902, 571, 39, 38
984, 577, 40, 31
41, 671, 40, 38
147, 673, 52, 35
221, 666, 38, 24
291, 670, 43, 34
403, 654, 41, 39
486, 657, 49, 49
549, 668, 60, 39
712, 670, 17, 24
853, 661, 23, 37
938, 674, 26, 23
13, 753, 58, 51
108, 744, 74, 63
206, 767, 26, 36
253, 757, 56, 48
375, 749, 53, 44
469, 738, 56, 57
546, 764, 43, 30
614, 759, 60, 56
723, 757, 15, 36
792, 757, 55, 47
901, 765, 51, 39
987, 764, 28, 22
